Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
360ONE,2026-04-28,0,2263500,-995500,2026-05-26,0,3419500,760000,2026-06-30,0,34500,3000,5717500,-232500,4065500,-854500,1988000,-149500,0.49
ABB,2026-04-28,0,487625,-299625,2026-05-26,0,2075625,327375,2026-06-30,0,30875,3000,2594125,30750,1784500,-220125,1423625,-48500,0.8
ABCAPITAL,2026-04-28,0,4944500,-9566600,2026-05-26,0,37057400,9110900,2026-06-30,0,530100,127100,42532000,-328600,11491700,-1116000,9188400,-43400,0.8
ADANIENSOL,2026-04-28,0,5467500,-1927125,2026-05-26,0,17373825,2587275,2026-06-30,0,77625,20925,22918950,681075,7489800,-42525,5739525,-184275,0.77
ADANIENT,2026-04-28,0,4033686,-4721829,2026-05-26,0,15726864,4973355,2026-06-30,0,240402,25029,20000952,276555,9532341,39243,7853544,277482,0.82
ADANIGREEN,2026-04-28,0,4072800,-2704800,2026-05-26,0,18729000,3724200,2026-06-30,0,180600,19800,22982400,1039200,13760400,-236400,9195600,-141000,0.67
ADANIPORTS,2026-04-28,0,4270250,-3422850,2026-05-26,0,17278600,4837400,2026-06-30,0,692075,375725,22240925,1790275,10135550,-20900,8573750,345800,0.85
ADANIPOWER,2026-04-28,0,31754750,-13301850,2026-05-26,0,55440350,16553650,2026-06-30,0,862650,74550,88057750,3326350,37541250,-5101350,27587050,-937200,0.73
ALKEM,2026-04-28,0,139500,-448375,2026-05-26,0,1087750,339875,2026-06-30,0,1500,875,1228750,-107625,334500,-20125,252375,-43750,0.75
AMBER,2026-04-28,0,269800,-326700,2026-05-26,0,1039100,327500,2026-06-30,0,12700,400,1321600,1200,814100,-39300,728100,41700,0.89
AMBUJACEM,2026-04-28,0,6951000,-11207700,2026-05-26,0,54544350,12838350,2026-06-30,0,863100,290850,62358450,1921500,13362300,2487450,11326350,2202900,0.85
ANGELONE,2026-04-28,0,8225000,-3030000,2026-05-26,0,19435000,3550000,2026-06-30,0,450000,-12500,28110000,507500,26777500,-1890000,24795000,-2475000,0.93
APLAPOLLO,2026-04-28,0,634200,-750050,2026-05-26,0,3652250,702450,2026-06-30,0,507500,7350,4793950,-40250,1137850,-75950,883400,-96950,0.78
APOLLOHOSP,2026-04-28,0,362375,-441875,2026-05-26,0,1672125,490375,2026-06-30,0,150875,7250,2185375,55750,835500,-65500,801125,-71250,0.96
ASHOKLEY,2026-04-28,0,26330000,-30705000,2026-05-26,0,111135000,29520000,2026-06-30,0,4405000,315000,141870000,-870000,96185000,-12675000,65650000,-3400000,0.68
ASIANPAINT,2026-04-28,0,1666750,-3178250,2026-05-26,0,11634000,3092500,2026-06-30,0,1020500,133250,14321250,47500,5062000,-66000,4785250,-633500,0.95
ASTRAL,2026-04-28,0,1529150,-1847475,2026-05-26,0,8741825,907800,2026-06-30,0,177225,17425,10448200,-922250,2948650,71400,1602675,-393125,0.54
AUBANK,2026-04-28,0,4025000,-6605000,2026-05-26,0,22002000,6456000,2026-06-30,0,788000,298000,26815000,149000,11980000,1107000,8405000,63000,0.7
AUROPHARMA,2026-04-28,0,2457400,-1529000,2026-05-26,0,19764800,1697300,2026-06-30,0,23100,-550,22245300,167750,4053500,-37950,2783000,-143000,0.69
AXISBANK,2026-04-28,0,7579375,-10213750,2026-05-26,0,51866250,8776250,2026-06-30,0,5756875,253750,65202500,-1183750,19738750,291250,13960000,-1440625,0.71
BAJAJ-AUTO,2026-04-28,0,362250,-721725,2026-05-26,0,2454375,765450,2026-06-30,0,48450,7200,2865075,50925,1299150,-58050,1172850,-20925,0.9
BAJAJFINSV,2026-04-28,0,1861000,-2008000,2026-05-26,0,8897250,2170750,2026-06-30,0,797000,120250,11555250,283000,4081250,7250,3479000,189750,0.85
BAJAJHLDNG,2026-04-28,0,56650,-71900,2026-05-26,0,209150,62450,2026-06-30,0,1700,100,267500,-9350,81800,-1600,51400,-300,0.63
BAJFINANCE,2026-04-28,0,12194250,-16502250,2026-05-26,0,54717000,14902500,2026-06-30,0,7206750,3249750,74118000,1650000,21187500,291000,16416000,854250,0.77
BANDHANBNK,2026-04-28,0,11815200,-17874000,2026-05-26,0,79538400,19562400,2026-06-30,0,972000,295200,92325600,1983600,35197200,2502000,23691600,1191600,0.67
BANKBARODA,2026-04-28,0,16894800,-19857825,2026-05-26,0,82373850,18316350,2026-06-30,0,7248150,283725,106516800,-1257750,53474850,-3469050,43099875,-757575,0.81
BANKINDIA,2026-04-28,0,10316800,-5023200,2026-05-26,0,40840800,4347200,2026-06-30,0,920400,119600,52078000,-556400,23680800,-2943200,19697600,-1435200,0.83
BANKNIFTY,2026-04-28,0,857850,-383760,2026-05-26,0,1442820,386340,2026-06-30,0,143130,9960,2443800,12540,24145410,1068570,22092450,899160,0.91
BDL,2026-04-28,0,858550,-573650,2026-05-26,0,2828700,288050,2026-06-30,0,151900,17500,3839150,-268100,3299800,-428050,2690100,-266700,0.82
BEL,2026-04-28,0,24779325,-17117100,2026-05-26,0,78775425,21896550,2026-06-30,0,11390025,1108650,114944775,5888100,49812300,1758450,31780350,-688275,0.64
BHARATFORG,2026-04-28,0,1661500,-2624000,2026-05-26,0,7169000,2349500,2026-06-30,0,50000,2500,8880500,-272000,3425000,-342500,2388500,-107500,0.7
BHARTIARTL,2026-04-28,0,6660450,-12027950,2026-05-26,0,47798300,11869300,2026-06-30,0,8871100,461700,63329850,303050,12218900,-1358500,8452625,-342000,0.69
BHEL,2026-04-28,0,12222000,-20517000,2026-05-26,0,107856000,25299750,2026-06-30,0,2958375,307125,123036375,5089875,48263250,-952875,45879750,-220500,0.95
BIOCON,2026-04-28,0,11417500,-7205000,2026-05-26,0,24865000,6522500,2026-06-30,0,575000,-15000,36857500,-697500,22295000,-950000,14355000,737500,0.64
BLUESTARCO,2026-04-28,0,412425,-571025,2026-05-26,0,2647125,373425,2026-06-30,0,13650,650,3073200,-196950,1811225,153075,1215825,53625,0.67
BOSCHLTD,2026-04-28,0,42750,-74700,2026-05-26,0,219150,64725,2026-06-30,0,1350,400,263250,-9575,169200,-24600,184500,-28200,1.09
BPCL,2026-04-28,0,20073900,-7941475,2026-05-26,0,35243875,8654450,2026-06-30,0,3762375,144175,59080150,857150,27160200,-1678750,20757250,-110600,0.76
BRITANNIA,2026-04-28,0,257125,-799125,2026-05-26,0,2253500,549750,2026-06-30,0,330375,14000,2841000,-235375,740625,-83125,699125,-375,0.94
BSE,2026-04-28,0,1978500,-1308750,2026-05-26,0,6216375,1317750,2026-06-30,0,326250,121875,8521125,130875,6814125,-783750,7412625,-746625,1.09
CAMS,2026-04-28,0,1443750,-1167750,2026-05-26,0,6357000,1157250,2026-06-30,0,237750,36750,8038500,26250,3256500,-206250,2744250,-158250,0.84
CANBK,2026-04-28,0,39447000,-28451250,2026-05-26,0,153198000,26041500,2026-06-30,0,17820000,708750,210465000,-1701000,85914000,-5656500,74628000,-4833000,0.87
CDSL,2026-04-28,0,1466325,-1647775,2026-05-26,0,9130925,1312425,2026-06-30,0,776625,85025,11373875,-250325,5934175,-292600,4808425,-220875,0.81
CGPOWER,2026-04-28,0,1475600,-4536450,2026-05-26,0,17164900,4162450,2026-06-30,0,2663900,65450,21304400,-308550,6100450,-68000,4000950,-221850,0.66
CHOLAFIN,2026-04-28,0,2780000,-4483125,2026-05-26,0,15908125,4585625,2026-06-30,0,957500,49375,19645625,151875,4541875,-170625,3315000,-253750,0.73
CIPLA,2026-04-28,0,1606500,-2738625,2026-05-26,0,13531125,2383875,2026-06-30,0,214875,20250,15352500,-334500,4699500,209625,5391000,495750,1.15
COALINDIA,2026-04-28,0,13173300,-12610350,2026-05-26,0,56508300,13265100,2026-06-30,0,1382400,189000,71064000,843750,41270850,-201150,26800200,-399600,0.65
COCHINSHIP,2026-04-28,0,387600,-368400,2026-05-26,0,1426400,268000,2026-06-30,0,32800,1200,1846800,-99200,1723600,-524400,1265600,-152000,0.73
COFORGE,2026-04-28,0,4558500,-2998500,2026-05-26,0,17749875,4053375,2026-06-30,0,249375,4500,22557750,1059375,9481500,-931500,5607375,-312375,0.59
COLPAL,2026-04-28,0,585675,-1051650,2026-05-26,0,4727925,1023750,2026-06-30,0,99450,9900,5413050,-18000,2318400,-165375,1802250,-66375,0.78
CONCOR,2026-04-28,0,5331250,-5766250,2026-05-26,0,18928750,4951250,2026-06-30,0,305000,45000,24565000,-770000,7810000,-43750,5871250,220000,0.75
CROMPTON,2026-04-28,0,4807800,-12360600,2026-05-26,0,38350800,11997000,2026-06-30,0,396000,75600,43554600,-288000,11608200,144000,7524000,455400,0.65
CUMMINSIND,2026-04-28,0,757400,-622400,2026-05-26,0,3148000,652400,2026-06-30,0,282400,17600,4187800,47600,1304400,-47000,971000,-23400,0.74
DABUR,2026-04-28,0,4038750,-6331250,2026-05-26,0,25011250,6288750,2026-06-30,0,363750,36250,29413750,-6250,9218750,-486250,7407500,-495000,0.8
DALBHARAT,2026-04-28,0,271700,-355225,2026-05-26,0,1999725,250575,2026-06-30,0,11700,975,2283125,-103675,1134250,-26325,676000,-38675,0.6
DELHIVERY,2026-04-28,0,2946500,-9194325,2026-05-26,0,29220150,8741975,2026-06-30,0,209575,-2075,32376225,-454425,12516400,-1529275,5365950,-300875,0.43
DIVISLAB,2026-04-28,0,359500,-439500,2026-05-26,0,2002300,439300,2026-06-30,0,285100,2100,2646900,1900,792400,-41100,877500,5700,1.11
DIXON,2026-04-28,0,456350,-320500,2026-05-26,0,2488150,263900,2026-06-30,0,100650,-1300,3045150,-57900,1824500,-434650,1487300,-8850,0.82
DLF,2026-04-28,0,8419125,-12773475,2026-05-26,0,37031775,11649825,2026-06-30,0,2720025,147675,48170925,-975975,11578050,-165000,10888350,-366300,0.94
DMART,2026-04-28,0,463200,-631800,2026-05-26,0,3097950,607200,2026-06-30,0,25500,-750,3586650,-25350,1688850,-254250,1445100,-119550,0.86
