SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
360ONE,EQ, 16-Sep-2026,1052.1,1051.2,1061.9,1042.4,1045.6,1045.6,1053.16,635279,6690.5,22800,456431, 71.85,-0.62
ABB,EQ, 16-Sep-2026,7005.0,7005.0,7051.0,6905.5,6980.0,6980.0,6974.28,115646,8065.48,20723,45289, 39.16,-0.36
ABCAPITAL,EQ, 16-Sep-2026,378.8,378.8,384.05,378.0,381.3,381.3,381.44,1287557,4911.31,29334,630805, 48.99,0.66
ADANIENSOL,EQ, 16-Sep-2026,1347.5,1347.6,1371.3,1341.6,1349.2,1349.2,1354.72,946914,12828.05,36323,412735, 43.59,0.13
ADANIENT,EQ, 16-Sep-2026,2928.6,2957.0,2972.9,2914.3,2920.0,2920.0,2938.2,764624,22466.19,38379,188726, 24.68,-0.29
ADANIGREEN,EQ, 16-Sep-2026,1255.0,1253.9,1276.9,1245.6,1270.2,1270.2,1264.9,624972,7905.25,22289,191450, 30.63,1.21
ADANIPORTS,EQ, 16-Sep-2026,1713.8,1722.9,1737.9,1707.0,1723.8,1723.8,1726.76,1060410,18310.76,59463,553073, 52.16,0.58
ADANIPOWER,EQ, 16-Sep-2026,202.0,202.1,205.0,200.4,202.34,202.34,203.02,12105905,24577.12,60128,4440013, 36.68,0.17
ALKEM,EQ, 16-Sep-2026,5161.0,5170.5,5265.5,5148.0,5175.0,5175.0,5187.86,304188,15780.84,31265,189506, 62.30,0.27
AMBER,EQ, 16-Sep-2026,7000.0,6985.5,7009.5,6826.5,6930.0,6930.0,6915.17,142671,9865.94,25129,49603, 34.77,-1.0
AMBUJACEM,EQ, 16-Sep-2026,381.75,382.0,385.45,379.55,381.05,381.05,381.75,1033371,3944.86,20118,434968, 42.09,-0.18
ANGELONE,EQ, 16-Sep-2026,297.5,295.0,299.3,291.6,293.5,293.5,294.74,2878370,8483.59,36237,977345, 33.95,-1.34
APLAPOLLO,EQ, 16-Sep-2026,2119.3,2115.0,2132.9,2041.3,2120.0,2120.0,2089.64,925656,19342.88,39470,485104, 52.41,0.03
APOLLOHOSP,EQ, 16-Sep-2026,8714.0,8756.0,8792.5,8672.5,8696.5,8696.5,8708.83,232987,20290.45,50622,151944, 65.22,-0.2
ASHOKLEY,EQ, 16-Sep-2026,156.65,157.4,158.21,154.75,156.5,156.5,156.64,10320454,16165.47,54686,4677220, 45.32,-0.1
ASIANPAINT,EQ, 16-Sep-2026,2402.8,2405.1,2444.5,2397.4,2416.6,2416.6,2429.63,591671,14375.39,41932,342177, 57.83,0.57
ASTRAL,EQ, 16-Sep-2026,1379.6,1376.0,1388.3,1357.6,1382.5,1382.5,1377.03,523897,7214.2,45245,306910, 58.58,0.21
AUBANK,EQ, 16-Sep-2026,1028.0,1030.0,1038.1,1015.1,1033.2,1033.2,1031.13,1013402,10449.45,45264,603868, 59.59,0.51
AUROPHARMA,EQ, 16-Sep-2026,1660.0,1657.1,1657.1,1623.0,1643.0,1643.0,1640.14,522849,8575.44,34589,248750, 47.58,-1.02
AXISBANK,EQ, 16-Sep-2026,1222.9,1230.0,1252.5,1223.7,1241.0,1241.0,1243.55,5799541,72119.91,180816,3716814, 64.09,1.48
BAJAJ-AUTO,EQ, 16-Sep-2026,11424.0,11425.0,11596.0,11379.0,11593.0,11593.0,11489.23,305528,35102.83,45105,174528, 57.12,1.48
BAJAJFINSV,EQ, 16-Sep-2026,1855.5,1864.0,1874.8,1832.9,1837.0,1837.0,1848.18,613789,11343.95,41587,368408, 60.02,-1.0
BAJAJHLDNG,EQ, 16-Sep-2026,11100.0,11011.0,11090.0,10925.0,10930.0,10930.0,10993.44,25570,2811.02,6487,14007, 54.78,-1.53
BAJFINANCE,EQ, 16-Sep-2026,1009.2,1010.5,1019.3,1006.2,1006.2,1006.2,1012.18,4190272,42413.14,102822,2965900, 70.78,-0.3
BANDHANBNK,EQ, 16-Sep-2026,172.45,173.24,173.62,169.33,172.5,172.5,171.9,8261916,14202.09,37358,3501140, 42.38,0.03
BANKBARODA,EQ, 16-Sep-2026,232.7,233.25,235.29,232.33,234.98,234.98,234.15,5789637,13556.35,53633,2906699, 50.21,0.98
BANKINDIA,EQ, 16-Sep-2026,137.61,138.0,139.35,136.85,137.81,137.81,138.29,5030108,6956.09,32978,2193831, 43.61,0.15
