TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-07,2026-05-07,FO,NSE,STO,65626,,ABCAPITAL,,2026-06-30,2026-06-30,405.0,CE,ABCAPITAL26JUN405CE,0.0,0.0,0.0,5.15,0.0,5.15,369.0,11.35,0,0,0,0.0,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83384,,ABCAPITAL,,2026-06-30,2026-06-30,380.0,PE,ABCAPITAL26JUN380PE,0.0,0.0,0.0,84.25,0.0,84.25,369.0,27.25,0,0,0,0.0,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83335,,ABCAPITAL,,2026-05-26,2026-05-26,355.0,CE,ABCAPITAL26MAY355CE,24.0,25.1,20.5,20.85,20.5,21.4,369.0,20.85,328600,-27900,61,71357195.0,52,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,65629,,ABCAPITAL,,2026-06-30,2026-06-30,415.0,PE,ABCAPITAL26JUN415PE,0.0,0.0,0.0,76.5,0.0,76.5,369.0,51.1,0,0,0,0.0,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83381,,ABCAPITAL,,2026-06-30,2026-06-30,370.0,CE,ABCAPITAL26JUN370CE,22.2,22.2,20.0,20.0,20.0,18.2,369.0,20.0,55800,-3100,5,6067165.0,5,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,65743,,ABCAPITAL,,2026-07-28,2026-07-28,340.0,PE,ABCAPITAL26JUL340PE,0.0,0.0,0.0,25.7,0.0,25.7,369.0,13.55,0,0,0,0.0,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,65739,,ABCAPITAL,,2026-07-28,2026-07-28,320.0,PE,ABCAPITAL26JUL320PE,0.0,0.0,0.0,16.6,0.0,16.6,369.0,7.8,0,0,0,0.0,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83376,,ABCAPITAL,,2026-06-30,2026-06-30,340.0,PE,ABCAPITAL26JUN340PE,5.25,6.35,5.25,5.8,5.8,6.15,369.0,9.65,111600,43400,25,26802135.0,25,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83373,,ABCAPITAL,,2026-06-30,2026-06-30,330.0,CE,ABCAPITAL26JUN330CE,0.0,0.0,0.0,11.4,0.0,11.4,369.0,49.0,0,0,0,0.0,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83367,,ABCAPITAL,,2026-06-30,2026-06-30,300.0,CE,ABCAPITAL26JUN300CE,0.0,0.0,0.0,21.75,0.0,21.75,369.0,73.8,0,0,0,0.0,0,F1,3100,,,,,
