TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-13,2026-05-13,FO,NSE,STO,65829,,ADANIENSOL,,2026-07-28,2026-07-28,1440.0,PE,ADANIENSOL26JUL1440PE,0.0,0.0,0.0,149.9,0.0,149.9,1318.2,195.85,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65833,,ADANIENSOL,,2026-07-28,2026-07-28,1520.0,PE,ADANIENSOL26JUL1520PE,0.0,0.0,0.0,195.5,0.0,195.5,1318.2,251.2,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,41241,,ADANIENSOL,,2026-05-26,2026-05-26,1340.0,CE,ADANIENSOL26MAY1340CE,30.05,60.3,30.0,50.6,49.4,41.25,1318.2,50.6,251100,-14175,1258,1179227058.75,1100,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,38834,,ADANIENSOL,,2026-05-26,2026-05-26,1480.0,CE,ADANIENSOL26MAY1480CE,10.05,18.25,10.0,14.35,13.9,14.25,1318.2,14.35,147150,-42525,234,236208960.0,209,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,35593,,ADANIENSOL,,2026-06-30,2026-06-30,1100.0,CE,ADANIENSOL26JUN1100CE,0.0,0.0,0.0,277.85,0.0,277.85,1318.2,250.05,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76489,,ADANIENSOL,,2026-05-26,2026-05-26,1160.0,CE,ADANIENSOL26MAY1160CE,0.0,0.0,0.0,201.5,201.5,201.5,1318.2,167.4,148500,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76459,,ADANIENSOL,,2026-05-26,2026-05-26,940.0,CE,ADANIENSOL26MAY940CE,0.0,0.0,0.0,422.1,422.1,422.1,1318.2,380.2,2700,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76479,,ADANIENSOL,,2026-05-26,2026-05-26,1080.0,CE,ADANIENSOL26MAY1080CE,0.0,0.0,0.0,101.0,0.0,101.0,1318.2,241.8,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65776,,ADANIENSOL,,2026-06-30,2026-06-30,1220.0,CE,ADANIENSOL26JUN1220CE,0.0,0.0,0.0,267.8,0.0,267.8,1318.2,164.85,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65820,,ADANIENSOL,,2026-07-28,2026-07-28,1280.0,CE,ADANIENSOL26JUL1280CE,0.0,0.0,0.0,251.7,0.0,251.7,1318.2,159.85,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76462,,ADANIENSOL,,2026-05-26,2026-05-26,960.0,PE,ADANIENSOL26MAY960PE,1.1,1.1,1.1,1.1,1.1,0.95,1318.2,1.1,4050,0,1,648742.5,1,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76486,,ADANIENSOL,,2026-05-26,2026-05-26,1120.0,PE,ADANIENSOL26MAY1120PE,16.2,16.2,6.4,7.1,7.1,10.1,1318.2,7.1,65475,0,48,36641261.25,46,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65790,,ADANIENSOL,,2026-06-30,2026-06-30,1500.0,CE,ADANIENSOL26JUN1500CE,28.85,47.95,28.85,47.15,47.15,39.2,1318.2,47.8,17550,0,12,12496578.75,11,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65835,,ADANIENSOL,,2026-07-28,2026-07-28,1560.0,PE,ADANIENSOL26JUL1560PE,0.0,0.0,0.0,220.45,0.0,220.45,1318.2,281.05,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65823,,ADANIENSOL,,2026-07-28,2026-07-28,1320.0,PE,ADANIENSOL26JUL1320PE,0.0,0.0,0.0,93.4,0.0,93.4,1318.2,124.8,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,58524,,ADANIENSOL,,2026-05-26,2026-05-26,1580.0,CE,ADANIENSOL26MAY1580CE,5.5,8.05,5.5,5.85,5.8,6.65,1318.2,5.85,39150,-1350,64,68545710.0,63,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,53854,,ADANIENSOL,,2026-06-30,2026-06-30,1560.0,PE,ADANIENSOL26JUN1560PE,0.0,0.0,0.0,351.95,0.0,351.95,1318.2,263.85,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,49368,,ADANIENSOL,,2026-05-26,2026-05-26,1420.0,CE,ADANIENSOL26MAY1420CE,18.9,31.25,18.25,25.05,24.4,20.5,1318.2,25.05,465075,-9450,804,784669342.5,712,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,35611,,ADANIENSOL,,2026-06-30,2026-06-30,1100.0,PE,ADANIENSOL26JUN1100PE,22.0,22.0,22.0,22.0,22.0,25.4,1318.2,22.0,2025,2025,3,2272050.0,3,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,38835,,ADANIENSOL,,2026-05-26,2026-05-26,1480.0,PE,ADANIENSOL26MAY1480PE,0.0,0.0,0.0,119.65,118.6,119.65,1318.2,169.15,27000,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76619,,ADANIENSOL,,2026-05-26,2026-05-26,1260.0,PE,ADANIENSOL26MAY1260PE,55.55,64.9,27.0,31.8,33.05,43.9,1318.2,31.8,141075,35100,555,485965743.75,464,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76609,,ADANIENSOL,,2026-05-26,2026-05-26,1220.0,PE,ADANIENSOL26MAY1220PE,34.45,35.0,18.0,20.7,22.1,29.3,1318.2,20.7,49275,-16875,346,290569342.5,283,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76628,,ADANIENSOL,,2026-05-26,2026-05-26,1360.0,CE,ADANIENSOL26MAY1360CE,25.0,51.35,25.0,42.75,41.5,34.25,1318.2,42.75,263925,-6750,1246,1179775732.5,1036,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76484,,ADANIENSOL,,2026-05-26,2026-05-26,1100.0,PE,ADANIENSOL26MAY1100PE,13.0,13.0,5.3,6.2,6.75,8.5,1318.2,6.2,248400,-49950,421,314895127.5,312,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65794,,ADANIENSOL,,2026-06-30,2026-06-30,1580.0,CE,ADANIENSOL26JUN1580CE,0.0,0.0,0.0,83.1,0.0,83.1,1318.2,31.55,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,83443,,ADANIENSOL,,2026-06-30,2026-06-30,1200.0,CE,ADANIENSOL26JUN1200CE,156.0,156.0,156.0,156.0,156.0,137.0,1318.2,177.6,0,-675,1,915300.0,1,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65818,,ADANIENSOL,,2026-07-28,2026-07-28,1240.0,CE,ADANIENSOL26JUL1240CE,0.0,0.0,0.0,277.35,0.0,277.35,1318.2,181.2,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65816,,ADANIENSOL,,2026-07-28,2026-07-28,1200.0,CE,ADANIENSOL26JUL1200CE,0.0,0.0,0.0,304.6,0.0,304.6,1318.2,204.55,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65814,,ADANIENSOL,,2026-07-28,2026-07-28,1160.0,CE,ADANIENSOL26JUL1160CE,0.0,0.0,0.0,333.4,0.0,333.4,1318.2,229.9,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,83441,,ADANIENSOL,,2026-06-30,2026-06-30,1160.0,CE,ADANIENSOL26JUN1160CE,209.05,209.05,209.05,209.05,209.05,37.1,1318.2,209.05,675,675,1,924108.75,1,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,41253,,ADANIENSOL,,2026-06-30,2026-06-30,1520.0,CE,ADANIENSOL26JUN1520CE,0.0,0.0,0.0,15.95,0.0,15.95,1318.2,43.2,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76629,,ADANIENSOL,,2026-05-26,2026-05-26,1360.0,PE,ADANIENSOL26MAY1360PE,128.9,128.9,69.7,77.6,81.35,100.2,1318.2,77.6,219375,28350,264,256990353.75,254,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76482,,ADANIENSOL,,2026-05-26,2026-05-26,1080.0,PE,ADANIENSOL26MAY1080PE,7.2,7.2,4.45,5.1,5.4,6.5,1318.2,5.1,22950,675,26,19047318.75,25,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65822,,ADANIENSOL,,2026-07-28,2026-07-28,1320.0,CE,ADANIENSOL26JUL1320CE,0.0,0.0,0.0,227.8,0.0,227.8,1318.2,140.45,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65792,,ADANIENSOL,,2026-06-30,2026-06-30,1540.0,CE,ADANIENSOL26JUN1540CE,0.0,0.0,0.0,96.3,0.0,96.3,1318.2,39.0,0,0,0,0.0,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,41245,,ADANIENSOL,,2026-05-26,2026-05-26,1520.0,CE,ADANIENSOL26MAY1520CE,8.7,13.35,8.55,9.4,9.1,10.25,1318.2,9.4,114075,-13500,155,160184385.0,143,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76620,,ADANIENSOL,,2026-05-26,2026-05-26,1280.0,CE,ADANIENSOL26MAY1280CE,49.0,93.0,48.95,81.85,80.6,66.2,1318.2,81.85,117450,36450,860,786849153.75,695,F1,675,,,,,
